Given,Actual
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.04
0.00,0.04
0.00,0.05
0.00,0.05
0.00,0.05
0.00,0.04
0.00,0.03
0.00,0.03
0.00,0.02
0.00,0.02
0.00,0.02
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
0.00,0.03
7.42,0.04
7.41,0.44
7.39,0.51
7.36,1.33
7.34,2.33
7.31,3.36
7.28,4.16
7.25,4.80
7.22,5.07
7.18,5.89
7.14,6.57
7.10,7.06
7.07,7.46
7.02,7.57
6.98,7.59
6.94,7.48
6.90,6.99
6.86,6.63
6.81,6.67
6.77,6.91
6.73,6.99
6.68,6.82
6.64,6.78
6.60,6.89
6.55,6.89
6.51,6.83
6.47,6.83
6.43,6.78
6.39,6.76
6.34,6.71
6.30,6.63
6.27,6.54
6.23,6.49
6.19,6.45
6.15,6.40
6.11,6.37
6.08,6.32
6.04,6.33
6.01,6.29
5.98,6.26
5.94,6.24
5.91,6.17
5.88,6.17
5.85,6.08
5.82,6.08
5.80,5.99
5.77,6.01
5.74,5.93
5.72,5.94
5.69,5.87
5.67,5.87
5.65,5.84
5.63,5.84
5.61,5.84
5.59,5.83
5.57,5.82
5.55,5.84
5.53,5.84
5.51,5.84
5.50,5.82
5.48,5.80
5.47,5.69
5.45,5.68
5.44,5.62
5.43,5.58
5.41,5.58
5.40,5.57
5.39,5.57
5.37,5.57
5.36,5.57
5.35,5.56
5.34,5.57
5.32,5.57
5.31,5.57
5.30,5.56
5.28,5.52
5.27,5.47
5.26,5.45
5.24,5.40
5.23,5.36
5.21,5.37
5.19,5.33
5.18,5.31
5.16,5.32
5.14,5.32
5.12,5.30
5.10,5.28
5.08,5.23
5.06,5.16
5.04,5.10
5.01,5.07
4.99,5.04
4.97,5.01
4.94,4.97
4.91,4.97
4.89,4.91
4.86,4.89
4.83,4.83
4.80,4.83
4.77,4.79
4.74,4.80
4.71,4.81
4.68,4.80
4.64,4.77
4.61,4.78
4.57,4.73
4.54,4.70
4.50,4.66
4.46,4.61
4.43,4.58
4.39,4.55
4.35,4.50
4.31,4.45
4.26,4.38
4.22,4.33
4.18,4.24
4.13,4.24
4.09,4.23
4.04,4.20
3.99,4.12
3.94,4.09
3.89,4.04
3.83,4.01
3.78,3.96
3.72,3.94
3.66,3.87
3.60,3.84
3.54,3.73
3.48,3.68
3.41,3.56
3.35,3.53
3.28,3.43
3.21,3.45
3.13,3.32
3.06,3.30
2.98,3.17
2.90,3.13
2.82,2.97
2.74,2.96
2.65,2.79
2.56,2.84
2.47,2.63
2.38,2.69
2.29,2.44
2.19,2.51
2.09,2.26
1.99,2.30
1.89,2.07
1.78,2.08
1.67,1.92
1.57,1.80
1.45,1.75
1.34,1.57
1.23,1.57
1.11,1.27
0.99,1.30
0.87,1.06
0.75,0.98
0.63,0.91
0.51,0.59
0.38,0.73
0.26,0.36
0.13,0.57
-0.00,0.21
-0.13,0.30
-0.26,0.02
-0.39,-0.06
-0.52,-0.12
-0.66,-0.39
-0.79,-0.38
-0.92,-0.81
-1.06,-0.74
-1.19,-1.00
-1.33,-1.10
-1.46,-1.14
-1.60,-1.45
-1.73,-1.33
-1.87,-1.65
-2.00,-1.61
-2.14,-1.87
-2.27,-2.07
-2.41,-2.16
-2.54,-2.30
-2.68,-2.45
-2.81,-2.52
-2.94,-2.72
-3.07,-2.80
-3.20,-2.90
-3.33,-3.02
-3.46,-3.22
-3.59,-3.34
-3.72,-3.50
-3.84,-3.62
-3.97,-3.78
-4.09,-3.88
-4.21,-4.05
-4.33,-4.12
-4.45,-4.24
-4.56,-4.30
-4.67,-4.51
-4.78,-4.54
-4.89,-4.69
-5.00,-4.76
-5.10,-4.94
-5.20,-5.04
-5.30,-5.19
-5.39,-5.30
-5.48,-5.32
-5.56,-5.43
-5.65,-5.56
-5.73,-5.66
-5.80,-5.71
-5.87,-5.78
-5.94,-5.90
-6.00,-5.89
-6.06,-5.99
-6.12,-5.99
-6.17,-6.12
-6.21,-6.13
-6.25,-6.25
-6.29,-6.29
-6.32,-6.33
-6.35,-6.37
-6.37,-6.39
-6.39,-6.46
-6.40,-6.44
-6.41,-6.46
-6.41,-6.46
-6.41,-6.45
-6.41,-6.47
-6.40,-6.48
-6.39,-6.53
-6.37,-6.54
-6.34,-6.53
-6.32,-6.56
-6.29,-6.55
-6.25,-6.55
-6.21,-6.55
-6.17,-6.54
-6.13,-6.53
-6.08,-6.53
-6.02,-6.54
-5.97,-6.51
-5.91,-6.47
-5.84,-6.46
-5.78,-6.40
-5.71,-6.39
-5.63,-6.35
-5.56,-6.33
-5.48,-6.26
-5.40,-6.21
-5.32,-6.09
-5.23,-6.01
-5.14,-5.92
-5.05,-5.83
-4.96,-5.71
-4.86,-5.65
-4.76,-5.57
-4.66,-5.52
-4.56,-5.44
-4.46,-5.32
-4.35,-5.11
-4.24,-5.01
-4.13,-4.88
-4.02,-4.81
-3.91,-4.65
-3.79,-4.61
-3.68,-4.43
-3.56,-4.34
-3.44,-4.18
-3.32,-4.09
-3.20,-3.94
-3.07,-3.86
-2.95,-3.67
-2.82,-3.51
-2.69,-3.34
-2.56,-3.25
-2.43,-3.04
-2.29,-2.95
-2.16,-2.80
-2.02,-2.79
-1.88,-2.53
-1.75,-2.44
-1.61,-2.27
-1.47,-2.21
-1.32,-1.92
-1.18,-1.86
-1.03,-1.69
-0.89,-1.63
-0.74,-1.34
-0.59,-1.23
-0.45,-1.08
-0.30,-0.95
-0.15,-0.69
0.01,-0.60
0.16,-0.49
0.31,-0.37
0.47,-0.05
0.62,-0.00
0.78,0.24
0.93,0.31
1.09,0.61
1.25,0.60
1.40,0.83
1.56,0.91
1.72,1.20
1.88,1.24
2.04,1.44
2.20,1.66
2.36,1.82
2.52,1.99
2.68,2.06
2.84,2.37
3.01,2.46
3.17,2.72
3.33,2.89
3.49,2.98
3.65,3.25
3.81,3.22
3.97,3.59
4.13,3.56
4.29,3.90
4.45,3.86
4.61,4.22
4.77,4.18
4.92,4.52
5.08,4.49
5.24,4.86
5.39,4.90
5.55,5.15
5.70,5.20
5.85,5.46
6.00,5.53
6.15,5.69
6.30,5.82
6.45,6.09
6.60,6.21
6.74,6.32
6.88,6.48
7.02,6.67
7.16,6.80
7.30,6.90
7.43,7.02
7.56,7.22
7.69,7.30
7.82,7.46
7.94,7.61
8.06,7.73
8.18,7.96
8.30,8.04
8.41,8.19
8.52,8.21
8.62,8.31
8.72,8.46
8.82,8.54
8.91,8.76
9.00,8.76
9.09,8.94
9.17,8.94
9.24,9.15
9.32,9.15
9.38,9.31
9.45,9.27
9.51,9.39
9.56,9.39
9.61,9.51
9.65,9.54
9.69,9.55
9.72,9.59
9.75,9.63
9.77,9.70
9.78,9.71
9.79,9.75
9.80,9.78
9.80,9.78
9.79,9.77
9.78,9.82
9.76,9.81
9.74,9.78
9.71,9.79
9.67,9.82
9.63,9.80
9.59,9.78
9.54,9.81
9.48,9.79
9.42,9.78
9.35,9.79
9.28,9.78
9.20,9.79
9.11,9.79
9.02,9.79
8.93,9.77
8.83,9.76
8.72,9.67
8.62,9.55
8.50,9.36
8.38,9.26
8.26,9.09
8.13,9.03
8.00,8.78
7.87,8.77
7.73,8.45
7.58,8.49
7.44,8.15
7.29,8.21
7.13,7.87
6.98,7.91
6.81,7.52
6.65,7.57
6.48,7.21
6.32,7.23
6.14,6.83
5.97,6.92
5.79,6.54
5.61,6.54
5.43,6.14
5.25,6.17
5.06,5.77
4.87,5.81
4.68,5.42
4.49,5.41
4.30,4.97
4.11,5.06
3.91,4.66
3.71,4.62
3.51,4.12
3.32,4.26
3.12,3.87
2.91,3.82
2.71,3.43
2.51,3.38
2.31,3.08
2.10,2.91
1.90,2.69
1.69,2.49
1.49,2.26
1.28,2.03
1.08,1.81
0.87,1.56
0.67,1.39
0.46,1.19
0.26,0.94
0.05,0.75
-0.15,0.46
-0.36,0.33
-0.56,0.03
-0.76,-0.01
-0.97,-0.37
-1.17,-0.43
-1.37,-0.77
-1.57,-0.88
-1.76,-1.18
-1.96,-1.34
-2.16,-1.53
-2.35,-1.79
-2.54,-1.94
-2.73,-2.13
-2.92,-2.43
-3.11,-2.54
-3.29,-2.76
-3.48,-2.94
-3.66,-3.10
-3.84,-3.42
-4.01,-3.54
-4.19,-3.78
-4.36,-3.98
-4.53,-4.04
-4.70,-4.34
-4.87,-4.37
-5.03,-4.67
-5.20,-4.64
-5.36,-5.02
-5.51,-4.98
-5.67,-5.37
-5.82,-5.29
-5.97,-5.67
-6.11,-5.66
-6.25,-5.96
-6.39,-5.91
-6.53,-6.18
-6.66,-6.32
-6.79,-6.49
-6.92,-6.61
-7.04,-6.71
-7.16,-6.90
-7.28,-7.00
-7.40,-7.19
-7.51,-7.21
-7.62,-7.40
-7.72,-7.52
-7.82,-7.62
-7.92,-7.75
-8.02,-7.77
-8.11,-7.90
-8.20,-7.95
-8.28,-8.13
-8.36,-8.16
-8.44,-8.29
-8.52,-8.36
-8.59,-8.44
-8.66,-8.49
-8.73,-8.60
-8.79,-8.65
-8.85,-8.72
-8.91,-8.75
-8.96,-8.87
-9.01,-8.89
-9.06,-8.93
-9.10,-8.97
-9.14,-8.99
-9.17,-9.02
-9.21,-9.13
-9.23,-9.19
-9.26,-9.28
-9.28,-9.32
-9.30,-9.37
-9.31,-9.41
-9.32,-9.39
-9.32,-9.39
-9.32,-9.40
-9.32,-9.41
-9.32,-9.41
-9.30,-9.42
-9.29,-9.42
-9.27,-9.42
-9.25,-9.43
-9.22,-9.42
-9.19,-9.43
-9.16,-9.43
-9.12,-9.42
-9.08,-9.42
-9.03,-9.42
-8.98,-9.42
-8.92,-9.42
-8.86,-9.42
-8.80,-9.42
-8.73,-9.41
-8.66,-9.35
-8.59,-9.29
-8.51,-9.23
-8.43,-9.18
-8.34,-9.05
-8.25,-9.01
-8.16,-8.91
-8.06,-8.85
-7.96,-8.73
-7.85,-8.66
-7.74,-8.53
-7.63,-8.48
-7.52,-8.35
-7.40,-8.26
-7.28,-8.14
-7.15,-8.06
-7.02,-7.85
-6.89,-7.79
-6.76,-7.58
-6.62,-7.49
-6.48,-7.26
-6.33,-7.13
-6.18,-6.96
-6.03,-6.88
-5.88,-6.66
-5.72,-6.63
-5.56,-6.36
-5.39,-6.24
-5.23,-5.98
-5.06,-5.91
-4.88,-5.70
-4.71,-5.58
-4.53,-5.27
-4.35,-5.18
-4.16,-4.89
-3.97,-4.83
-3.78,-4.55
-3.59,-4.49
-3.39,-4.11
-3.19,-4.00
-2.99,-3.67
-2.78,-3.67
-2.57,-3.28
-2.36,-3.19
-2.15,-2.86
-1.93,-2.78
-1.71,-2.54
-1.49,-2.32
-1.26,-2.04
-1.04,-1.79
-0.81,-1.58
-0.57,-1.35
-0.34,-1.12
-0.10,-0.81
0.13,-0.63
0.37,-0.38
0.61,-0.29
0.86,0.16
1.10,0.46
1.35,0.68
1.59,1.01
1.84,0.97
2.09,1.53
2.34,1.42
2.59,2.12
2.84,1.97
3.09,2.56
3.34,2.34
3.59,3.03
3.84,2.98
4.08,3.65
4.33,3.42
4.58,4.05
4.82,3.95
5.07,4.65
5.31,4.58
5.55,4.99
5.79,4.94
6.02,5.58
6.26,5.57
6.49,6.02
6.72,6.00
6.94,6.42
7.16,6.50
7.38,6.92
7.59,7.01
7.80,7.32
8.01,7.34
8.21,7.84
8.40,7.89
8.59,8.24
8.78,8.25
8.96,8.46
9.14,8.55
9.31,8.99
9.47,9.09
9.63,9.38
9.78,9.41
9.93,9.64
10.06,9.71
10.20,9.87
10.32,9.95
10.44,10.22
10.56,10.32
10.66,10.47
10.76,10.54
10.85,10.65
10.94,10.76
11.01,10.86
11.08,10.94
11.15,11.01
11.20,11.11
11.25,11.16
11.29,11.22
11.33,11.26
11.36,11.31
11.38,11.33
11.39,11.36
11.40,11.40
11.40,11.42
11.39,11.45
11.38,11.47
11.36,11.49
11.34,11.50
11.30,11.50
11.27,11.50
11.22,11.50
11.17,11.50
11.12,11.50
11.06,11.50
10.99,11.51
10.92,11.49
10.85,11.48
10.76,11.48
10.68,11.43
10.59,11.42
10.49,11.33
10.39,11.28
10.29,11.12
10.18,11.08
10.07,10.99
9.95,10.94
9.83,10.79
9.71,10.68
9.58,10.51
9.45,10.40
9.31,10.19
9.18,10.12
9.04,9.87
8.90,9.83
8.75,9.53
8.60,9.54
8.46,9.20
8.30,9.26
8.15,8.90
7.99,8.94
7.84,8.56
7.68,8.61
7.52,8.25
7.36,8.31
7.19,7.87
7.03,7.92
6.86,7.54
6.69,7.56
6.53,7.21
6.36,7.28
6.19,6.91
6.02,6.84
5.84,6.51
5.67,6.49
5.50,6.19
5.32,6.17
5.15,5.84
4.97,5.74
4.80,5.44
4.62,5.42
4.45,5.13
4.27,5.04
4.09,4.77
3.91,4.58
3.74,4.39
3.56,4.27
3.38,4.10
3.20,3.89
3.02,3.71
2.85,3.48
2.67,3.34
2.49,3.17
2.31,2.93
2.13,2.82
1.95,2.55
1.77,2.50
1.59,2.16
1.41,2.07
1.23,1.81
1.05,1.69
0.87,1.45
0.69,1.30
0.51,1.08
0.33,0.98
0.15,0.73
-0.03,0.52
-0.21,0.28
-0.39,0.16
-0.57,-0.07
-0.75,-0.15
-0.94,-0.38
-1.12,-0.45
-1.30,-0.82
-1.48,-0.93
-1.67,-1.16
-1.85,-1.27
-2.04,-1.50
-2.22,-1.72
-2.40,-1.89
-2.59,-2.06
-2.77,-2.33
-2.96,-2.43
-3.14,-2.68
-3.33,-2.74
-3.51,-3.06
-3.70,-3.12
-3.88,-3.40
-4.06,-3.51
-4.24,-3.81
-4.43,-3.97
-4.61,-4.16
-4.79,-4.32
-4.97,-4.53
-5.14,-4.66
-5.32,-4.87
-5.49,-5.01
-5.67,-5.26
-5.84,-5.40
-6.01,-5.65
-6.18,-5.72
-6.34,-5.97
-6.51,-6.07
-6.67,-6.30
-6.83,-6.39
-6.98,-6.59
-7.14,-6.76
-7.29,-6.95
-7.44,-7.10
-7.58,-7.24
-7.73,-7.41
-7.87,-7.56
-8.00,-7.68
-8.14,-7.85
-8.27,-7.96
-8.39,-8.11
-8.52,-8.22
-8.64,-8.39
-8.75,-8.48
-8.87,-8.61
-8.97,-8.72
-9.08,-8.85
-9.18,-8.93
-9.28,-9.08
-9.37,-9.18
-9.46,-9.30
-9.55,-9.35
-9.63,-9.46
-9.71,-9.50
-9.78,-9.63
-9.85,-9.66
-9.92,-9.78
-9.98,-9.84
-10.04,-9.95
-10.09,-9.98
-10.14,-10.05
-10.19,-10.07
-10.23,-10.18
-10.26,-10.23
-10.29,-10.24
-10.32,-10.27
-10.34,-10.28
-10.36,-10.33
-10.38,-10.36
-10.39,-10.36
-10.39,-10.39
-10.39,-10.37
-10.39,-10.38
-10.38,-10.38
-10.36,-10.38
-10.35,-10.37
-10.32,-10.36
-10.30,-10.37
-10.27,-10.38
-10.23,-10.38
-10.19,-10.39
-10.14,-10.39
-10.09,-10.38
-10.04,-10.39
-9.98,-10.39
-9.91,-10.38
-9.85,-10.37
-9.77,-10.33
-9.69,-10.31
-9.61,-10.29
-9.52,-10.24
-9.43,-10.19
-9.33,-10.11
-9.23,-10.06
-9.13,-9.95
-9.02,-9.90
-8.90,-9.78
-8.78,-9.72
-8.66,-9.53
-8.53,-9.49
-8.39,-9.33
-8.26,-9.25
-8.11,-9.07
-7.97,-9.02
-7.82,-8.80
-7.67,-8.70
-7.51,-8.50
-7.35,-8.42
-7.18,-8.20
-7.01,-8.04
-6.84,-7.71
-6.66,-7.58
-6.48,-7.34
-6.30,-7.27
-6.12,-6.92
-5.93,-6.87
-5.74,-6.55
-5.55,-6.47
-5.35,-6.18
-5.15,-6.09
-4.95,-5.81
-4.75,-5.67
-4.55,-5.41
-4.34,-5.29
-4.14,-4.96
-3.93,-4.83
-3.72,-4.44
-3.51,-4.45
-3.30,-4.10
-3.09,-4.04
-2.88,-3.55
-2.66,-3.55
-2.45,-3.23
-2.24,-3.18
-2.03,-2.81
-1.81,-2.60
-1.60,-2.41
-1.39,-2.12
-1.17,-2.08
-0.96,-1.61
-0.75,-1.58
-0.54,-1.11
-0.33,-1.17
-0.12,-0.73
0.08,-0.64
0.29,-0.22
0.50,-0.03
0.70,0.00
0.90,0.49
1.10,0.38
1.30,0.62
1.50,0.70
1.70,1.46
1.89,1.06
2.09,1.90
2.28,1.38
2.47,2.31
2.66,1.91
2.84,2.62
3.03,2.06
3.21,2.79
3.39,2.77
3.56,3.37
3.74,2.99
3.91,3.55
4.08,3.35
4.25,3.94
4.42,3.87
4.58,4.15
4.74,4.14
4.90,4.50
5.06,4.55
5.21,4.82
5.36,4.94
5.51,5.13
5.66,5.30
5.80,5.40
5.94,5.56
6.08,5.66
6.22,5.88
6.35,5.99
6.48,6.22
6.61,6.31
6.73,6.49
6.85,6.61
6.97,6.72
7.09,6.83
7.20,6.92
7.31,7.08
7.42,7.11
