time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1720044840264795123,0,5341880000000,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09467990228e-13
1720044850778396855,1,5356460000000,map,0.185462421776,0.0121972499364,0.0,0.0,0.0,0.104215889012,0.994554698585,0.000148912622591,9.83143314091e-06,0.0,0.0,0.0,0.0,9.83143314091e-06,2.86834848072e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181236123464
1720044854328336875,2,5360040000000,map,0.440255930756,0.0838633594481,0.0,0.0,0.0,0.172543383285,0.985001919229,0.000444152161907,7.60957184086e-05,0.0,0.0,0.0,0.0,7.60957184086e-05,5.6261630366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000583520179055
1720044854931149308,3,5360640000000,map,0.705395962887,0.147781464906,0.0,0.0,0.0,0.0941021484193,0.995562547338,0.000754776306028,8.28109596553e-05,0.0,0.0,0.0,0.0,8.28109596553e-05,0.000173204650793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104760197885
1720044855224603800,4,5360920000000,map,0.965613700486,0.209039026921,0.0,0.0,0.0,0.123339184092,0.992364572961,0.00111512937802,8.91173969081e-05,0.0,0.0,0.0,0.0,8.91173969081e-05,0.000427959586208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142789109694
1720044855492515652,5,5361200000000,map,1.23122171558,0.276986546765,0.0,0.0,0.0,0.123707173963,0.992318766884,0.00149178720493,-1.42775356648e-05,0.0,0.0,0.0,0.0,-1.42775356647e-05,0.000927349562109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00174911666227
1720044856527876424,6,5362220000000,map,1.48638183173,0.346247610028,0.0,0.0,0.0,0.0872114608745,0.996189821817,0.00190158854269,-0.000277344165925,0.0,0.0,0.0,0.0,-0.000277344165925,0.00153050059172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00197828966139
1720044857172768459,7,5362860000000,map,1.74247726813,0.366396421003,0.0,0.0,0.0,0.0117574863864,0.999930878368,0.00210250218061,-0.000334026158159,0.0,0.0,0.0,0.0,-0.000334026158159,0.00258410963356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00236733684582
1720044857431505438,8,5363140000000,map,2.00474846753,0.397361312159,0.0,0.0,0.0,0.064444476266,0.997921294231,0.002317037288,-0.00073433974236,0.0,0.0,0.0,0.0,-0.00073433974236,0.00395822415745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00263247509946
1720044857692823516,9,5363400000000,map,2.25683203516,0.430126059221,0.0,0.0,0.0,0.0623937292675,0.998051613168,0.00238787565715,-0.000834292039389,0.0,0.0,0.0,0.0,-0.000834292039389,0.00532338366858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278647839075
